centre_code,centre_name,organisation_type,centre_contact_no,centre_email_address,centre_address,postal_code,centre_website,spark_certified,last_updated,latitude,longtitude,placeId
KG1145,MFC Kindergarten (Broadrick Road),Commercial,63450087,broadrick@montessori.edu.sg,11 Broadrick Road S(439476),439476,www.montessori.edu.sg,No,25/10/17,,,
KG1074,MFC Kindergarten (Newton),Commercial,62563952,newton@montessori.edu.sg,43 Newton Road S(307970),307970,www.montessori.edu.sg,Yes,25/10/17,,,
KG1155,Modern Montessori Kindergarten,Commercial,62440321,na,12 Kee Sun Avenue S(457037),457037,www.modernmontessori.intl.com,Yes,25/10/17,,,
KG1258,Monte Kidz World (Hougang),Commercial,63861293,centremanager_hougang@montekidz.com.sg,21 Hougang Street 51 #02-14 S(538719),538719,www.montekidz.com.sg,No,25/10/17,,,
KG1190,Monte Kidz World (Pasir Ris),Commercial,65853326,principal@montekidz.com.sg,625 Elias Road #02-330 S(510625),510625,www.montekidz.com.sg,No,25/10/17,,,
KG1065,Montessori Children's House Kindergarten,Commercial,64688372,montessorich@gmail.com,886 Old Holland Road S(278685),278685,www.montessorich.com.sg,No,25/10/17,,,
KG1609,Mosaic Kindergarten,Commercial,69090470,mosaic@mkg.sg,Sime Darby Centre 896 Dunearn Road #01-01B S(589472),589472,na,No,25/10/17,,,
KG1527,MRC Kindergarten (Serangoon North),Commercial,65557823,na,542B Serangoon North Avenue 3 #01-03 S(552542),552542,na,No,25/10/17,,,
KG1525,MRC Kindergarten (Yishun South),Commercial,61002313,na,848 Yishun Street 81 #01-150 S(760848),760848,na,No,25/10/17,,,
KG1127,Muhammadiyah Kindergarten,NFP,64424758,kindergarten@muhammadiyah.org.sg,66 Jalan Lapang S(419006),419006,na,No,25/10/17,,,
KG1026,Mujahidin Mosque Kindergarten,NFP,64737400,lydiayanti@mujahidin.mosque.org.sg |,590 Stirling Road S(148952),148952,na,No,25/10/17,,,
KG1549,My Montessori Preschool @ Bullion,Commercial,65521235,mymonte2013@gmail.com,Bullion Park 172 Lentor Loop #02-01 S(789100),789100,na,No,25/10/17,,,
KG1546,My Prep School,Commercial,64435428,nooranisaad@yahoo.com.sg,Mandarin Gardens Condominium 9 Siglap Road S(448910),448910,na,No,25/10/17,,,
KG1138,NAFA Arts Kindergarten,Commercial,63469511,artskinder@nafa.edu.sg,511 East Coast Road S(429064),429064,www.nafa-intl.com,No,25/10/17,,,
KG1547,NAFA Arts Kindergarten (Derbyshire),Commercial,65130273,artskinder2@nafa.edu.sg,2 Derbyshire Road S(309458),309458,www.nafa-intl.com,No,25/10/17,,,
KG1008,Nanyang Children School,Commercial,62745528,nanyangchildrenskool@yahoo.com.sg,78B Telok Blangah Street 32 #02-17 S(102078),102078,na,No,25/10/17,,,
KG1061,Nanyang Kindergarten,NFP,64663375,nykadmin@nanyangkindergarten.com,118 King's Road S(268155),268155,na,No,25/10/17,,,
KG1586,Nanyang Kindergarten,NFP,64632771,nykadmin@nanyangkindergarten.com,51 Coronation Road S(269460),269460,na,No,25/10/17,,,
KG1260,Nativity Church Kindergarten,NFP,64876757,nckdgn@singnet.com.sg,98 Hougang Avenue 8 S(538791),538791,na,No,25/10/17,,,
KG1449,New Life Kindergarten,NFP,63689567,nlkindergarten@gmail.com,10 Marsiling Lane S(739147),739147,na,No,25/10/17,,,
KG1075,Newton Kindergarten,NFP,62515586,newtonkindergarten@gmail.com,16 Newton Road S(307995),307995,www.newtonkindergarten.com,Yes,25/10/17,,,
KG1486,P & J Kindergarten,Commercial,64812549 | 64536912,pnjmontessori@yahoo.com.sg,35 Windsor Park Road Windsor Park S(574141),574141,na,No,25/10/17,,,
KG1182,Paper Scissors Stone Montessori Kindergarten,Commercial,65468809,simei@pssmk.com,30 Jalan Pergam S(488306),488306,na,No,25/10/17,,,
KG1562,Paper Scissors Stone Montessori Kindergarten (Bedok Reservoir Branch),Commercial,62424718,enquiry@pssmk.com | bedok@pssmk.com,718 Bedok Reservoir Road #01-4590 S(470718),470718,www.pssmk.com,No,25/10/17,,,
KG1013,Pasir Panjang Hill Church Kindergarten,NFP,64742183,principal_pphck@pphbc.org,3 Pasir Panjang Hill S(118827),118827,www.pphbc.org/our-kindergarten,No,25/10/17,,,
KG1278,Paya Lebar Methodist Church Covenant Kindergarten,NFP,62853730,kindergarten@plmc.org,5 Boundary Road S(549954),549954,www.plmc.org/care-help/kindergarten,No,25/10/17,,,
KG1428,PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 501 (KN),AOP,63146161,na,501 Woodlands Drive 14 #01-52 S(730501),730501,www.pcf.org.sg,Yes,25/10/17,,,
KG1430,PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 581 (KN),AOP,63146160,na,581 Woodlands Drive 16 #01-486 S(730581),730581,www.pcf.org.sg,No,25/10/17,,,
KG1446,PCF SPARKLETOTS PRESCHOOL @ ADMIRALTY Blk 687B (KN),AOP,63146162,na,687B Woodlands Drive 75 #01-47 S(732687),732687,www.pcf.org.sg,Yes,25/10/17,,,
KG1243,PCF SPARKLETOTS PRESCHOOL @ ANG MO KIO-HOUGANG Blk 632 (KN),AOP,62826567,na,632 Hougang Avenue 8 #01-28 S(530632),530632,www.pcf.org.sg,Yes,25/10/17,,,
KG1246,PCF SPARKLETOTS PRESCHOOL @ ANG MO KIO-HOUGANG Blk 929 (KN),AOP,63869876,na,929 Hougang Street 91 #01-127 S(530929),530929,www.pcf.org.sg,Yes,25/10/17,,,
KG1248,PCF SPARKLETOTS PRESCHOOL @ ANG MO KIO-HOUGANG Blk 970 (KN),AOP,63840064,na,970 Hougang Street 91 #01-152 S(530970),530970,www.pcf.org.sg,Yes,25/10/17,,,
KG1327,PCF SPARKLETOTS PRESCHOOL @ AYER RAJAH Blk 48 (KN),AOP,65698256,na,48 Teban Gardens Road #01-248 S(600048),600048,www.pcf.org.sg,Yes,25/10/17,,,
KG1167,PCF SPARKLETOTS PRESCHOOL @ BEDOK Blk 30 (KN),AOP,64423628,na,30 New Upper Changi Road #01-812 S(461030),461030,www.pcf.org.sg,Yes,25/10/17,,,
KG1239,PCF SPARKLETOTS PRESCHOOL @ BEDOK RESERVOIR-PUNGGOL Blk 414 (DS),AOP,63868507,na,414 Hougang Avenue 10 #01-1256 S(530414),530414,www.pcf.org.sg,Yes,25/10/17,,,
KG1594,PCF SPARKLETOTS PRESCHOOL @ BEDOK RESERVOIR-PUNGGOL Blk 475C (DS),AOP,63855687,na,475C Upper Serangoon Crescent #01-547 S(533475),533475,www.pcf.org.sg,No,25/10/17,,,
KG1178,PCF SPARKLETOTS PRESCHOOL @ BEDOK RESERVOIR-PUNGGOL Blk 713 (KN),AOP,64428657,pcf_brp_713@yahoo.com,713 Bedok Reservoir Road #01-3960 S(470713),470713,www.pcf.org.sg,Yes,25/10/17,,,
KG1305,PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON Blk 144 (KN),AOP,63533269,na,144 Bishan Street 12 #01-554 S(570144),570144,www.pcf.org.sg,Yes,25/10/17,,,
KG1307,PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON Blk 197 (KN),AOP,62590542,na,197 Bishan Street 13 #01-567 S(570197),570197,www.pcf.org.sg,Yes,25/10/17,,,
KG1311,PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON Blk 313 (KN),AOP,63562647,313pcfthom@gmail.com,313 Shunfu Road #01-287 S(570313),570313,www.pcf.org.sg,Yes,25/10/17,,,
KG1309,PCF SPARKLETOTS PRESCHOOL @ BISHAN NORTH Blk 231 (KN),AOP,64549608,na,231 Bishan Street 23 #01-21 S(570231),570231,www.pcf.org.sg,Yes,25/10/17,,,
KG1312,PCF SPARKLETOTS PRESCHOOL @ BISHAN NORTH Blk 441 (KN),AOP,64520587,na,441 Sin Ming Avenue #01-417 S(570441),570441,www.pcf.org.sg,No,25/10/17,,,
KG1347,PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 207 (KN),AOP,62616085,na,207 Boon Lay Place #01-215 S(640207),640207,www.pcf.org.sg,Yes,25/10/17,,,
KG1348,PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 262 (KN),AOP,67932565,na,262 Boon Lay Drive #01-573 S(640262),640262,www.pcf.org.sg,Yes,25/10/17,,,
KG1354,PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 631 (KN),AOP,67900411,na,631 Jurong West Street 65 #01-260 S(640631),640631,www.pcf.org.sg,Yes,25/10/17,,,
KG1282,PCF SPARKLETOTS PRESCHOOL @ BRADDELL HEIGHTS Blk 307 (KN),AOP,62857090,na,307 Serangoon Avenue 2 #01-44 S(550307),550307,www.pcf.org.sg,No,25/10/17,,,
KG1249,PCF SPARKLETOTS PRESCHOOL @ BRADDELL HEIGHTS Blk 417 (KN),AOP,62845761,na,417 Serangoon Central #01-456 S(550417),550417,www.pcf.org.sg,No,25/10/17,,,
KG1372,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK Blk 148 (KN),AOP,65614656,na,148 Bukit Batok West Avenue 6 #01-319 S(650148),650148,www.pcf.org.sg,Yes,25/10/17,,,
KG1373,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK Blk 180 (KN),AOP,65696717,na,180 Bukit Batok West Avenue 8 #01-181 S(650180),650180,www.pcf.org.sg,Yes,25/10/17,,,
KG1374,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 241 (KN),AOP,64254653,na,241 Bukit Batok East Avenue 5 #01-261 S(650241),650241,www.pcf.org.sg,Yes,25/10/17,,,
KG1333,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 285C (KN),AOP,65659218,na,285C Toh Guan Road #01-92 S(603285),603285,www.pcf.org.sg,Yes,25/10/17,,,
KG1377,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 289G (KN),AOP,65667605,na,289G Bukit Batok Street 25 #01-94 S(656289),656289,www.pcf.org.sg,Yes,25/10/17,,,
KG1380,PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK Blk 535 (DS),AOP,65618108,na,535 Bukit Batok Street 52 #01-631 S(650535),650535,www.pcf.org.sg,Yes,25/10/17,,,
KG1383,PCF SPARKLETOTS PRESCHOOL @ BUKIT PANJANG Blk 111 (KN),AOP,67644828,na,111 Gangsa Road #01-75 S(670111),670111,www.pcf.org.sg,Yes,25/10/17,,,
KG1384,PCF SPARKLETOTS PRESCHOOL @ BUKIT PANJANG Blk 226 (KN),AOP,67691888,na,226 Pending Road #01-179 S(670226),670226,www.pcf.org.sg,Yes,25/10/17,,,
KG1388,PCF SPARKLETOTS PRESCHOOL @ BUKIT PANJANG Blk 422 (KN),AOP,68921269,na,422 Fajar Road #01-511 S(670422),670422,www.pcf.org.sg,Yes,25/10/17,,,
KG1608,PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH BLK 312B (DS),AOP,na,Koh.shu.hui.kelin@pcf.org.sg,312B Clementi Avenue 4 #01-181 122312,122312,na,No,25/10/17,,,
KG1015,PCF SPARKLETOTS PRESCHOOL @ BUKIT TIMAH Blk 319 (KN),AOP,67770864,na,319 Clementi Avenue 4 #01-55 S(120319),120319,www.pcf.org.sg,Yes,25/10/17,,,
KG1063,PCF SPARKLETOTS PRESCHOOL @ BUONA VISTA Blk 4 (DS),AOP,67766927,Buona.Vista@pcf.org.sg,4 Holland Close #01-19 S(271004),271004,www.pcf.org.sg,Yes,25/10/17,,,
KG1023,PCF SPARKLETOTS PRESCHOOL @ BUONA VISTA Blk 54 (DS),AOP,63344918,pcfqueenstown@ymail.com,54 Commonwealth Drive #01-564 S(142054),142054,www.pcf.org.sg,Yes,25/10/17,,,
KG1453,PCF SPARKLETOTS PRESCHOOL @ CANBERRA Blk 330 (DS),AOP,62570112,na,330 Sembawang Close #01-383 S(750330),750330,www.pcf.org.sg,No,25/10/17,,,
KG1458,PCF SPARKLETOTS PRESCHOOL @ CANBERRA Blk 468D (KN),AOP,67554113,na,468D Admiralty Drive #01-223 S(754468),754468,www.pcf.org.sg,Yes,25/10/17,,,
KG1456,PCF SPARKLETOTS PRESCHOOL @ CANBERRA Blk 487 (KN),AOP,65700224,na,487 Admiralty Link #01-131 S(750487),750487,www.pcf.org.sg,Yes,25/10/17,,,
KG1390,PCF SPARKLETOTS PRESCHOOL @ CASHEW Blk 545 (KN),AOP,67646220,na,545 Bukit Panjang Ring Road #01-871 S(670545),670545,www.pcf.org.sg,Yes,25/10/17,,,
KG1201,PCF SPARKLETOTS PRESCHOOL @ CHANGI-SIMEI Blk 119 (KN),AOP,67877690,na,119 Simei Street 1 #01-506 S(520119),520119,www.pcf.org.sg,Yes,25/10/17,,,
KG1202,PCF SPARKLETOTS PRESCHOOL @ CHANGI-SIMEI Blk 131 (KN),AOP,67825618,na,131 Simei Street 1 #01-208 S(520131),520131,www.pcf.org.sg,Yes,25/10/17,,,
KG1296,PCF SPARKLETOTS PRESCHOOL @ CHENG SAN-SELETAR Blk 435 (KN),AOP,64521298,na,435 Ang Mo Kio Avenue 10 #01-1393 S(560435),560435,www.pcf.org.sg,Yes,25/10/17,,,
KG1299,PCF SPARKLETOTS PRESCHOOL @ CHENG SAN-SELETAR Blk 533 (KN),AOP,64589560,na,533 Ang Mo Kio Avenue 5 #01-4100 S(560533),560533,www.pcf.org.sg,Yes,25/10/17,,,
KG1464,PCF SPARKLETOTS PRESCHOOL @ CHONG PANG Blk 107 (KN),AOP,67597047,na,107 Yishun Ring Road #01-207 S(760107),760107,www.pcf.org.sg,Yes,25/10/17,,,
KG1465,PCF SPARKLETOTS PRESCHOOL @ CHONG PANG Blk 122 (KN),AOP,67550324,littlegems122@gmail.com,122 Yishun Street 11 #01-479 S(760122),760122,www.pcf.org.sg,Yes,25/10/17,,,
KG1397,PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG Blk 10 (KN),AOP,67605783,na,10 Teck Whye Avenue #01-59 S(680010),680010,www.pcf.org.sg,Yes,25/10/17,,,
KG1398,PCF SPARKLETOTS PRESCHOOL @ CHUA CHU KANG Blk 123 (KN),AOP,67653630,na,123 Teck Whye Lane #01-864 S(680123),680123,www.pcf.org.sg,No,25/10/17,,,
KG1016,PCF SPARKLETOTS PRESCHOOL @ CLEMENTI Blk 330 (DS),AOP,67731958,na,330 Clementi Avenue 2 #01-170 S(120330),120330,www.pcf.org.sg,Yes,25/10/17,,,
KG1017,PCF SPARKLETOTS PRESCHOOL @ CLEMENTI Blk 462A (KN),AOP,67793135,na,462A Clementi Avenue 3 #01-01 S(120462),120462,www.pcf.org.sg,Yes,25/10/17,,,
KG1174,PCF SPARKLETOTS PRESCHOOL @ EUNOS Blk 122 (KN),AOP,67438207,na,122 Bedok Reservoir Road #01-1025 S(470122),470122,www.pcf.org.sg,Yes,25/10/17,,,
KG1176,PCF SPARKLETOTS PRESCHOOL @ EUNOS Blk 616 (KN),AOP,62420636,pcfeunos616@gmail.com,616 Bedok Reservoir Road #01-1106 S(470616),470616,www.pcf.org.sg,Yes,25/10/17,,,
KG1160,PCF SPARKLETOTS PRESCHOOL @ FENGSHAN Blk 126 (KN),AOP,62430031,fspcf126@gmail.com,126 Bedok North Street 2 #01-88 S(460126),460126,www.pcf.org.sg,Yes,25/10/17,,,
KG1451,PCF SPARKLETOTS PRESCHOOL @ GAMBAS Blk 309 (KN),AOP,64820633,na,309 Canberra Road #01-109 S(750309),750309,www.pcf.org.sg,Yes,25/10/17,,,
KG1452,PCF SPARKLETOTS PRESCHOOL @ GAMBAS Blk 317 (KN),AOP,67532472,na,317 Sembawang Vista #01-211 S(750317),750317,www.pcf.org.sg,Yes,25/10/17,,,
KG1471,PCF SPARKLETOTS PRESCHOOL @ GAMBAS Blk 408 (KN),AOP,67537449,na,408 Yishun Avenue 6 #01-1264 S(760408),760408,www.pcf.org.sg,Yes,25/10/17,,,
KG1116,PCF SPARKLETOTS PRESCHOOL @ GEYLANG SERAI Blk 11 (KN),AOP,67457469,na,11 Eunos Cresent #01-2737 S(400011),400011,www.pcf.org.sg,Yes,25/10/17,,,
KG1103,PCF SPARKLETOTS PRESCHOOL @ GEYLANG SERAI Blk 14 (KN),AOP,62827433,na,14 Joo Seng Road #01-103 S(360014),360014,www.pcf.org.sg,Yes,25/10/17,,,
KG1034,PCF SPARKLETOTS PRESCHOOL @ HENDERSON-DAWSON Blk 124A (KN),AOP,62734513,na,124A Bukit Merah View #01-406 S(151124),151124,www.pcf.org.sg,Yes,25/10/17,,,
KG1368,PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH Blk 276D (KN),AOP,62679003,na,276D Jurong West Street 25 #01-11 S(644276),644276,www.pcf.org.sg,Yes,25/10/17,,,
KG1378,PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH Blk 319 (KN),AOP,65694373,na,319 Bukit Batok Street 33 #01-40 S(650319),650319,www.pcf.org.sg,Yes,25/10/17,,,
KG1379,PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH Blk 338 (KN),AOP,65696601,na,338 Bukit Batok Street 34 #01-338 S(650338),650338,www.pcf.org.sg,Yes,25/10/17,,,
KG1360,PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH Blk 750 (KN),AOP,67944957,na,750 Jurong West Street 73 #01-169 S(640750),640750,www.pcf.org.sg,Yes,25/10/17,,,
KG1238,PCF SPARKLETOTS PRESCHOOL @ HOUGANG Blk 328 (DS),AOP,62825856,na,328 Hougang Avenue 5 #01-196 S(530328),530328,www.pcf.org.sg,Yes,25/10/17,,,
KG1283,PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 518 (KN),AOP,64830353,na,518 Serangoon North Avenue 4 #01-218 S(550518),550518,www.pcf.org.sg,Yes,25/10/17,,,
KG1300,PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 556 (KN),AOP,64569714,na,556 Ang Mo Kio Avenue 10 #01-1902 S(560556),560556,www.pcf.org.sg,No,25/10/17,,,
KG1526,PCF SPARKLETOTS PRESCHOOL @ JALAN KAYU Blk 987C (DS),AOP,66363655,na,987C Buangkok Green #01-57 S(532987),532987,www.pcf.org.sg,No,25/10/17,,,
KG1132,PCF SPARKLETOTS PRESCHOOL @ JOO CHIAT Blk 15 (KN),AOP,63460121,na,15 Lorong K Telok Kurau S(425611),425611,www.pcf.org.sg,No,25/10/17,,,
KG1351,PCF SPARKLETOTS PRESCHOOL @ JURONG CENTRAL Blk 490 (KN),AOP,65691448,na,490 Jurong West Avenue 1 #01-01 S(640490),640490,www.pcf.org.sg,Yes,25/10/17,,,
KG1350,PCF SPARKLETOTS PRESCHOOL @ JURONG SPRING Blk 465 (KN),AOP,65612603,na,465 Jurong West Street 41 #01-536 S(640465),640465,www.pcf.org.sg,Yes,25/10/17,,,
KG1352,PCF SPARKLETOTS PRESCHOOL @ JURONG SPRING Blk 515 (KN),AOP,65656500,na,515 Jurong West Street 52 #01-17 S(640515),640515,www.pcf.org.sg,No,25/10/17,,,
KG1353,PCF SPARKLETOTS PRESCHOOL @ JURONG SPRING Blk 527 (KN),AOP,65658895,na,527 Jurong West St 52 #01-301 S(640527),640527,www.pcf.org.sg,Yes,25/10/17,,,
KG1165,PCF SPARKLETOTS PRESCHOOL @ KAKI BUKIT Blk 519 (KN),AOP,64495242,na,519 Bedok North Avenue 1 #01-372 S(460519),460519,www.pcf.org.sg,Yes,25/10/17,,,
KG1166,PCF SPARKLETOTS PRESCHOOL @ KAKI BUKIT Blk 526 (KN),AOP,64491447,admkbkn526@gmail.com,526 Bedok North Street 3 #01-462 S(460526),460526,www.pcf.org.sg,Yes,25/10/17,,,
KG1161,PCF SPARKLETOTS PRESCHOOL @ KAMPONG CHAI CHEE Blk 135 (KN),AOP,64422983,na,135 Bedok North Street 2 #01-137 S(460135),460135,www.pcf.org.sg,Yes,25/10/17,,,
KG1164,PCF SPARKLETOTS PRESCHOOL @ KAMPONG CHAI CHEE Blk 409 (KN),AOP,64490203,na,409 Bedok North Avenue 2 #01-26 S(460409),460409,www.pcf.org.sg,Yes,25/10/17,,,
KG1180,PCF SPARKLETOTS PRESCHOOL @ KAMPONG CHAI CHEE Blk 775 (KN),AOP,62452192,pcfkcc775@gmail.com,775 Bedok Reservoir View #01-333 S(470775),470775,www.pcf.org.sg,Yes,25/10/17,,,
KG1042,PCF SPARKLETOTS PRESCHOOL @ KAMPONG GLAM Blk 462 (KN),AOP,62984206,kampong.glam@pcf.org.sg,462 Crawford Lane #03-33 S(190462),190462,www.pcf.org.sg,Yes,25/10/17,,,
KG1399,PCF SPARKLETOTS PRESCHOOL @ KEAT HONG Blk 295 (KN),AOP,67629925,na,295 Choa Chu Kang Avenue 2 #01-169 S(680295),680295,www.pcf.org.sg,Yes,25/10/17,,,
KG1401,PCF SPARKLETOTS PRESCHOOL @ KEAT HONG Blk 411 (KN),AOP,67692092,na,411 Choa Chu Kang Avenue 3 #01-359 S(680411),680411,www.pcf.org.sg,Yes,25/10/17,,,
KG1606,PCF SPARKLETOTS PRESCHOOL @ KEAT HONG Blk 801 (DS),AOP,68910214,na,801 Keat Hong Close #01-01 S(680801),680801,www.pcf.org.sg,No,25/10/17,,,
KG1120,PCF SPARKLETOTS PRESCHOOL @ KEMBANGAN CHAI CHEE Blk 116 (DS),AOP,67419943,na,116 Lengkong Tiga #01-187 S(410116),410116,www.pcf.org.sg,Yes,25/10/17,,,
KG1118,PCF SPARKLETOTS PRESCHOOL @ KEMBANGAN CHAI CHEE Blk 326 (KN),AOP,67453298,na,326 Ubi Avenue 1 #01-675 S(400326),400326,www.pcf.org.sg,Yes,25/10/17,,,
KG1158,PCF SPARKLETOTS PRESCHOOL @ KEMBANGAN CHAI CHEE Blk 59 (KN),AOP,64490383,na,59 Chai Chee Road #01-878 S(460059),460059,www.pcf.org.sg,Yes,25/10/17,,,
KG1106,PCF SPARKLETOTS PRESCHOOL @ KOLAM AYER Blk 12 (KN),AOP,67487447,na,12 Upper Boon Keng Road #01-895 S(380012),380012,www.pcf.org.sg,Yes,25/10/17,,,
KG1107,PCF SPARKLETOTS PRESCHOOL @ KOLAM AYER Blk 64 (KN),AOP,63922558,na,64 Kallang Bahru #01-375 S(330064),330064,www.pcf.org.sg,No,25/10/17,,,
KG1036,PCF SPARKLETOTS PRESCHOOL @ KRETA AYER-KIM SENG Blk 79 (KN),AOP,62782025,na,79 Indus Road #01-435 S(161079),161079,www.pcf.org.sg,Yes,25/10/17,,,
KG1406,PCF SPARKLETOTS PRESCHOOL @ LIMBANG Blk 543 (KN),AOP,67663379,na,543 Choa Chu Kang Street 52 #01-70 S(680543),680543,www.pcf.org.sg,Yes,25/10/17,,,
KG1413,PCF SPARKLETOTS PRESCHOOL @ LIMBANG Blk 786 (KN),AOP,67665694,na,786 Choa Chu Kang Drive #01-237 S(680786),680786,www.pcf.org.sg,Yes,25/10/17,,,
KG1108,PCF SPARKLETOTS PRESCHOOL @ MACPHERSON Blk 108 (KN),AOP,68426979,na,108 Aljunied Cres #01-36 S(380108),380108,www.pcf.org.sg,Yes,25/10/17,,,
KG1104,PCF SPARKLETOTS PRESCHOOL @ MACPHERSON Blk 31 (KN),AOP,67467077,na,31 Balam Road #01-103 S(370031),370031,www.pcf.org.sg,Yes,25/10/17,,,
KG1105,PCF SPARKLETOTS PRESCHOOL @ MACPHERSON Blk 54 (KN),AOP,67461524,na,54 Pipit Road #01-52 S(370054),370054,www.pcf.org.sg,Yes,25/10/17,,,
KG1146,PCF SPARKLETOTS PRESCHOOL @ MARINE PARADE Blk 46 (KN),AOP,64426945,na,46 Marine Crescent #01-42 S(440046),440046,www.pcf.org.sg,Yes,25/10/17,,,
KG1421,PCF SPARKLETOTS PRESCHOOL @ MARSILING Blk 15 (KN),AOP,63655066,na,15 Marsiling Lane #01-163 S(730015),730015,www.pcf.org.sg,No,25/10/17,,,
KG1424,PCF SPARKLETOTS PRESCHOOL @ MARSILING Blk 302 (KN),AOP,63683346,na,302 Woodlands Street 31 #01-301 S(730302),730302,www.pcf.org.sg,Yes,25/10/17,,,
KG1422,PCF SPARKLETOTS PRESCHOOL @ MARSILING Blk 32 (KN),AOP,63684788,na,32 Marsiling Drive #01-343 S(730032),730032,www.pcf.org.sg,Yes,25/10/17,,,
KG1046,PCF SPARKLETOTS PRESCHOOL @ MOULMEIN-CAIRNHILL Blk 10 (DS),AOP,62972135,na,10 Gloucester Road #01-33 S(210010),210010,www.pcf.org.sg,No,25/10/17,,,
KG1112,PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN Blk 51 (KN),AOP,63449034,na,51 Old Airport Road #02-01 S(390051),390051,www.pcf.org.sg,Yes,25/10/17,,,
KG1361,PCF SPARKLETOTS PRESCHOOL @ NANYANG Blk 813 (KN),AOP,67920838,na,813 Jurong West Street 81 #01-180 S(640813),640813,www.pcf.org.sg,No,25/10/17,,,
KG1363,PCF SPARKLETOTS PRESCHOOL @ NANYANG Blk 934 (KN),AOP,67920963,na,934 Jurong West Street 91 #01-329 S(640934),640934,www.pcf.org.sg,Yes,25/10/17,,,
KG1472,PCF SPARKLETOTS PRESCHOOL @ NEE SOON CENTRAL Blk 609 (KN),AOP,67525259,na,609 Yishun Street 61 #01-235 S(760609),760609,www.pcf.org.sg,No,25/10/17,,,
KG1473,PCF SPARKLETOTS PRESCHOOL @ NEE SOON CENTRAL Blk 646 (KN),AOP,62571146,na,646 Yishun Street 61 #01-354 S(760646),760646,www.pcf.org.sg,Yes,25/10/17,,,
KG1474,PCF SPARKLETOTS PRESCHOOL @ NEE SOON CENTRAL Blk 737 (KN),AOP,67537558,na,737 Yishun Street 72 #01-99 S(760737),760737,www.pcf.org.sg,Yes,25/10/17,,,
KG2011,PCF SPARKLETOTS PRESCHOOL @ NEE SOON CENTRAL Blk 738 (KN),AOP,67585359,na,738 Yishun Street 72 #01-135 S(760738),760738,www.pcf.org.sg,Yes,25/10/17,,,
KG1466,PCF SPARKLETOTS PRESCHOOL @ NEE SOON EAST Blk 223 (KN),AOP,62570231,na,223 Yishun St 21 #01-520 S(760223),760223,www.pcf.org.sg,Yes,25/10/17,,,
KG1470,PCF SPARKLETOTS PRESCHOOL @ NEE SOON EAST Blk 367 (KN),AOP,67545551,na,367 Yishun Ring Road #01-1534 S(760367),760367,www.pcf.org.sg,Yes,25/10/17,,,
KG1610,PCF SPARKLETOTS PRESCHOOL @ NEE SOON EAST Blk 671 (DS),AOP,64813512,na,671 Yishun Avenue 4 #01-01 S(760671),760671,na,No,25/10/17,,,
KG1477,PCF SPARKLETOTS PRESCHOOL @ NEE SOON SOUTH Blk 875 (DS),AOP,67593514,na,875 Yishun St 81 #01-175 S(760875),760875,www.pcf.org.sg,Yes,25/10/17,,,
KG1186,PCF SPARKLETOTS PRESCHOOL @ PASIR RIS EAST Blk 216 (KN),AOP,65840236,na,216 Pasir Ris Street 21 #01-184 S(510216),510216,www.pcf.org.sg,Yes,25/10/17,,,
KG1187,PCF SPARKLETOTS PRESCHOOL @ PASIR RIS EAST Blk 426 (KN),AOP,65810356,na,426-1/2 Pasir Ris Drive 6 #01-73/61 S(510426),510426,www.pcf.org.sg,Yes,25/10/17,,,
KG1188,PCF SPARKLETOTS PRESCHOOL @ PASIR RIS WEST Blk 517 (KN),AOP,65844578,na,517 Pasir Ris Street 52 #01-57 S(510517),510517,www.pcf.org.sg,Yes,25/10/17,,,
KG1193,PCF SPARKLETOTS PRESCHOOL @ PASIR RIS WEST Blk 738 (KN),AOP,65851337,pasir.ris.west@pcf.org.sg,738 Pasir Ris Drive 10 #01-21 S(510738),510738,www.pcf.org.sg,Yes,25/10/17,,,
